,Country,Summer_gold,Summer_silver,Summer_bronze,Summer_total,Winter_gold,Winter_silver,Winter_bronze,Winter_total,Num_of_Games,total_gold,total_silver,total_bronze,Combined total
3,Armenia ,1,2,9,12,0,0,0,0,11,1,2,9,12
30,Czech Republic  ,14,15,15,44,7,9,8,24,11,21,24,23,68
82,Moldova ,0,2,5,7,0,0,0,0,11,0,2,5,7
67,Kazakhstan ,16,17,19,52,1,3,3,7,11,17,20,22,59
104,Russia  ,132,121,142,395,49,40,35,124,11,181,161,177,519
91,Niger ,0,0,1,1,0,0,0,0,11,0,0,1,1
72,Kyrgyzstan ,0,1,2,3,0,0,0,0,11,0,1,2,3
43,Georgia ,6,5,14,25,0,0,0,0,11,6,5,14,25
78,Macedonia ,0,0,1,1,0,0,0,0,10,0,0,1,1
7,Azerbaijan ,6,5,15,26,0,0,0,0,10,6,5,15,26
108,Saudi Arabia ,0,1,2,3,0,0,0,0,10,0,1,2,3
127,Togo ,0,0,1,1,0,0,0,0,10,0,0,1,1
86,Mozambique ,1,0,1,2,0,0,0,0,9,1,0,1,2
128,Tonga ,0,1,0,1,0,0,0,0,9,0,1,0,1
42,Gabon ,0,1,0,1,0,0,0,0,9,0,1,0,1
124,Tajikistan ,0,1,2,3,0,0,0,0,9,0,1,2,3
15,Botswana ,0,1,0,1,0,0,0,0,9,0,1,0,1
51,Grenada ,1,0,0,1,0,0,0,0,8,1,0,0,1
134,United Arab Emirates ,1,0,0,1,0,0,0,0,8,1,0,0,1
80,Mauritius ,0,0,1,1,0,0,0,0,8,0,0,1,1
9,Bahrain ,0,0,1,1,0,0,0,0,8,0,0,1,1
102,Qatar ,0,0,4,4,0,0,0,0,8,0,0,4,4
33,Djibouti  ,0,0,1,1,0,0,0,0,7,0,0,1,1
45,United Team of Germany  ,28,54,36,118,8,6,5,19,6,36,60,41,137
87,Namibia ,0,4,0,4,0,0,0,0,6,0,4,0,4
111,Serbia and Montenegro  ,2,4,3,9,0,0,0,0,6,2,4,3,9
19,Burundi ,1,0,0,1,0,0,0,0,5,1,0,0,1
110,Serbia  ,1,2,4,7,0,0,0,0,5,1,2,4,7
37,Eritrea ,0,0,1,1,0,0,0,0,4,0,0,1,1
84,Montenegro ,0,1,0,1,0,0,0,0,4,0,1,0,1
105,Russian Empire  ,1,4,3,8,0,0,0,0,3,1,4,3,8
145,Mixed team  ,8,5,4,17,0,0,0,0,3,8,5,4,17
14,Bohemia   ,0,1,3,4,0,0,0,0,3,0,1,3,4
4,Australasia  ,3,4,5,12,0,0,0,0,2,3,4,5,12
107,Unified Team  ,45,38,29,112,9,6,8,23,2,54,44,37,135
142,Independent Olympic Participants  ,0,1,2,3,0,0,0,0,1,0,1,2,3
17,British West Indies  ,0,0,2,2,0,0,0,0,1,0,0,2,2
